103.032870,-40.532670,-62.500200,-4.923850,2.757600,2.166242
98.578882,-21.109001,-77.469980,-4.895847,1.906019,2.989828
90.336410,-0.874052,-89.462487,-4.679697,0.981192,3.698506
78.622510,19.394474,-98.017030,-4.283713,0.018655,4.265058
63.887177,38.917687,-102.804863,-3.723108,-0.944600,4.667708
46.696593,56.945393,-103.641795,-3.019422,-1.871553,4.890975
27.711550,72.784650,-100.495970,-2.199708,-2.726583,4.926292
7.661480,85.826800,-93.488177,-1.295457,-3.476831,4.772288
-12.682959,95.570673,-82.887707,-0.341421,-4.093469,4.434889
-32.539940,101.641830,-69.101775,0.625734,-4.552792,3.927063
-51.146557,103.806973,-52.660417,1.568844,-4.837158,3.268317
-67.787555,101.982843,-34.195288,2.451661,-4.935635,2.483974
-81.823420,96.239590,-14.416101,3.240267,-4.844442,1.604175
-92.715108,86.797975,5.917114,3.904344,-4.567075,0.662725
-100.043560,74.020593,26.022890,4.418389,-4.114194,-0.304191
-103.527600,58.398840,45.128760,4.762629,-3.503213,-1.259417
-103.032947,40.532670,62.500277,4.923850,-2.757603,-2.166247
-98.578920,21.108994,77.469942,4.895844,-1.906022,-2.989822
-90.336410,0.874053,89.462410,4.679700,-0.981192,-3.698508
-78.622625,-19.394482,98.016953,4.283713,-0.018655,-4.265060
-63.887023,-38.917687,102.804787,3.723108,0.944600,-4.667706
-46.696670,-56.945240,103.641910,3.019425,1.871550,-4.890975
-27.711397,-72.784573,100.496123,2.199706,2.726583,-4.926286
-7.661488,-85.826800,93.488253,1.295458,3.476829,-4.772288
12.682959,-95.570750,82.887630,0.341422,4.093467,-4.434892
32.539978,-101.641868,69.101928,-0.625734,4.552796,-3.927062
51.146633,-103.806973,52.660493,-1.568844,4.837161,-3.268317
67.787555,-101.982920,34.195365,-2.451663,4.935638,-2.483971
81.823573,-96.239590,14.416109,-3.240267,4.844439,-1.604172
92.715032,-86.797975,-5.917122,-3.904347,4.567074,-0.662725
100.043560,-74.020670,-26.022890,-4.418383,4.114192,0.304191
103.527562,-58.398725,-45.128645,-4.762628,3.503211,1.259417
103.033023,-40.532747,-62.500353,-4.923850,2.757606,2.166244
98.578920,-21.108986,-77.469865,-4.895846,1.906025,2.989825
90.336487,-0.874054,-89.462410,-4.679703,0.981192,3.698508
78.622587,19.394486,-98.017107,-4.283712,0.018655,4.265057
63.887100,38.917610,-102.804710,-3.723108,-0.944600,4.667708
46.696517,56.945317,-103.641833,-3.019428,-1.871554,4.890975
27.711473,72.784573,-100.496047,-2.199706,-2.726583,4.926289
7.661484,85.826800,-93.488330,-1.295454,-3.476829,4.772287
-12.682959,95.570597,-82.887630,-0.341421,-4.093464,4.434886
-32.539940,101.641792,-69.101852,0.625734,-4.552794,3.927061
-51.146480,103.807050,-52.660340,1.568842,-4.837158,3.268317
-67.787555,101.982767,-34.195403,2.451664,-4.935633,2.483976
-81.823497,96.239667,-14.416101,3.240267,-4.844436,1.604172
-92.715070,86.797975,5.917118,3.904346,-4.567071,0.662725
-100.043560,74.020670,26.022890,4.418386,-4.114197,-0.304191
-103.527600,58.398763,45.128683,4.762631,-3.503214,-1.259417
-103.032870,40.532670,62.500200,4.923850,-2.757600,-2.166242
-98.578882,21.109001,77.469980,4.895847,-1.906019,-2.989828
-90.336410,0.874054,89.462487,4.679697,-0.981192,-3.698506
-78.622625,-19.394474,98.017030,4.283713,-0.018655,-4.265058
-63.887177,-38.917687,102.804863,3.723108,0.944600,-4.667708
-46.696593,-56.945393,103.641795,3.019422,1.871553,-4.890975
-27.711550,-72.784650,100.495970,2.199708,2.726583,-4.926292
-7.661480,-85.826800,93.488177,1.295457,3.476831,-4.772288
12.682959,-95.570673,82.887707,0.341421,4.093469,-4.434889
32.539940,-101.641830,69.101775,-0.625735,4.552792,-3.927063
51.146557,-103.806973,52.660417,-1.568844,4.837158,-3.268317
67.787555,-101.982843,34.195288,-2.451661,4.935635,-2.483974
81.823420,-96.239590,14.416101,-3.240267,4.844442,-1.604175
92.715108,-86.797975,-5.917114,-3.904344,4.567075,-0.662726
100.043560,-74.020593,-26.022890,-4.418389,4.114194,0.304191
103.527600,-58.398840,-45.128760,-4.762629,3.503213,1.259417
103.032947,-40.532670,-62.500277,-4.923850,2.757603,2.166242
98.578958,-21.108994,-77.469942,-4.895844,1.906022,2.989822
90.336410,-0.874055,-89.462410,-4.679700,0.981192,3.698508
78.622625,19.394482,-98.016953,-4.283713,0.018655,4.265060
63.887023,38.917687,-102.804787,-3.723108,-0.944600,4.667706
46.696670,56.945240,-103.641910,-3.019425,-1.871550,4.890975
27.711397,72.784573,-100.496123,-2.199711,-2.726583,4.926286
7.661488,85.826800,-93.488253,-1.295458,-3.476829,4.772287
-12.682959,95.570750,-82.887630,-0.341421,-4.093467,4.434892
-32.539978,101.641868,-69.101928,0.625735,-4.552796,3.927063
-51.146633,103.806973,-52.660493,1.568844,-4.837161,3.268317
-67.787555,101.982920,-34.195365,2.451663,-4.935638,2.483971
-81.823573,96.239590,-14.416109,3.240267,-4.844439,1.604172
-92.715032,86.797975,5.917122,3.904347,-4.567074,0.662725
-100.043560,74.020670,26.022890,4.418383,-4.114192,-0.304191
-103.527562,58.398725,45.128645,4.762628,-3.503211,-1.259417
-103.033023,40.532747,62.500353,4.923850,-2.757606,-2.166244
-98.578920,21.108986,77.469865,4.895846,-1.906025,-2.989825
-90.336487,0.874054,89.462410,4.679703,-0.981192,-3.698508
-78.622587,-19.394486,98.017107,4.283712,-0.018655,-4.265057
-63.887100,-38.917610,102.804710,3.723108,0.944600,-4.667708
-46.696517,-56.945317,103.641833,3.019428,1.871554,-4.890975
-27.711473,-72.784573,100.496047,2.199706,2.726583,-4.926289
-7.661472,-85.826800,93.488330,1.295454,3.476829,-4.772287
12.682959,-95.570597,82.887630,0.341421,4.093464,-4.434886
32.539940,-101.641792,69.101852,-0.625734,4.552794,-3.927061
51.146480,-103.807050,52.660340,-1.568842,4.837158,-3.268317
67.787555,-101.982767,34.195403,-2.451664,4.935633,-2.483976
81.823497,-96.239667,14.416116,-3.240267,4.844436,-1.604172
92.715070,-86.797975,-5.917118,-3.904346,4.567071,-0.662725
100.043637,-74.020670,-26.022890,-4.418386,4.114197,0.304191
103.527600,-58.398763,-45.128683,-4.762631,3.503214,1.259417
103.033100,-40.532670,-62.500200,-4.923850,2.757600,2.166242
98.578882,-21.109001,-77.469980,-4.895847,1.906019,2.989828
90.336410,-0.874054,-89.462487,-4.679697,0.981192,3.698506
78.622625,19.394474,-98.017030,-4.283713,0.018655,4.265058
63.887177,38.917763,-102.804863,-3.723108,-0.944600,4.667708
46.696593,56.945393,-103.641795,-3.019422,-1.871553,4.890975
27.711550,72.784650,-100.495970,-2.199708,-2.726583,4.926292
7.661480,85.826800,-93.488177,-1.295457,-3.476831,4.772288
-12.682959,95.570673,-82.887707,-0.341421,-4.093469,4.434889
